r,z,"v(r,z)",u_r,w_z,P
0,0.022,0,0,0,0.000378
0,0.021868,15.7782,0,15.7782,0.000476
0,0.02178,5.77929,0,5.77929,0.000125
0,0.021648,6.62454,0,-6.62454,0.000612
0,0.021538,0.706544,0,0.706544,0.000594
0,0.021428,6.3941,0,-6.3941,-7.13E-05
0,0.021318,20.643,0,-20.643,0.000446
0,0.021208,55.3583,0,55.3583,0.000131
0,0.021098,19.2734,0,19.2734,3.27E-06
0,0.020988,0.444978,0,-0.44498,0.000273
0,0.020878,1.03529,0,-1.03529,6.13E-05
0,0.020768,24.5362,0,24.5362,0.00019
0,0.020658,10.5296,0,-10.5296,1.36E-04
0,0.020548,12.8986,0,12.8986,0.000477
0,0.020438,8.49108,0,-8.49108,0.000419
0,0.020328,19.7299,0,19.7299,0.000236
0,0.020218,67.3081,0,67.3081,0.000388
0,0.020108,16.8423,0,16.8423,0.000229
0,0.019998,18.7824,0,-18.7824,0.000315
0,0.019888,27.6386,0,27.6386,0.000292
0,0.019778,2.14118,0,-2.14118,0.000762
0,0.019668,93.876,0,93.876,0.000198
0,0.019558,47.9478,0,-47.9478,0.000391
0,0.019448,24.5689,0,24.5689,0.000149
0,0.019338,84.3029,0,84.3029,0.000183
0,0.019228,19.8318,0,19.8318,0.000412
0,0.019118,55.1063,0,55.1063,-5.47E-05
0,0.019008,33.3671,0,33.3671,4.15E-04
0,0.018898,26.7665,0,26.7665,0.000253
0,0.018788,29.3835,0,29.3835,0.000397
0,0.018678,51.9157,0,51.9157,0.000212
0,0.018568,12.6344,0,12.6344,0.000541
0,0.018458,20.2046,0,20.2046,-0.00022
0,0.018348,8.89723,0,8.89723,0.000479
0,0.018238,19.566,0,-19.566,-3.30E-05
0,0.018128,17.5187,0,-17.5187,0.000557
0,0.018018,7.22395,0,-7.22395,0.000284
0,0.017908,37.9459,0,-37.9459,0.000483
0,0.017798,3.1081,0,3.1081,0.000275
0,0.017688,20.9805,0,-20.9805,9.26E-05
0,0.017578,50.1567,0,-50.1567,0.000791
0,0.017468,21.9504,0,-21.9504,-0.00035
0,0.017358,31.9814,0,31.9814,0.00071
0,0.017248,16.813,0,-16.813,3.70E-05
0,0.017138,29.6648,0,-29.6648,0.000613
0,0.017028,14.051,0,-14.051,-0.00022
0,0.016918,41.6775,0,41.6775,0.000775
0,0.016808,4.97562,0,4.97562,6.33E-06
0,0.016698,32.0915,0,-32.0915,0.000693
0,0.016588,26.9322,0,-26.9322,0.000187
0,0.016478,9.18018,0,9.18018,0.00033
0,0.016368,0.306102,0,0.306102,0.000505
0,0.016258,40.1962,0,40.1962,0.000148
0,0.016148,2.96544,0,-2.96544,0.000486
0,0.016038,4.97785,0,-4.97785,0.000166
0,0.015928,8.5278,0,-8.5278,9.44E-05
0,0.015818,4.95954,0,-4.95954,0.000431
0,0.015708,9.01482,0,9.01482,0.000385
0,0.015598,25.5528,0,25.5528,0.00026
0,0.015488,2.37626,0,2.37626,0.000386
0,0.015378,4.23331,0,4.23331,0.000209
0,0.015268,2.73924,0,-2.73924,0.000303
0,0.015158,12.1999,0,-12.1999,0.000204
0,0.015048,9.80009,0,9.80009,0.000402
0,0.014938,9.62176,0,9.62176,0.000441
0,0.014828,54.7012,0,54.7012,4.16E-05
0,0.014718,24.2708,0,24.2708,0.000394
0,0.014608,4.62001,0,-4.62001,0.000457
0,0.014498,18.916,0,-18.916,0.000286
0,0.014388,45.5937,0,-45.5937,0.000361
0,0.014278,81.282,0,81.282,0.000301
0,0.014168,55.9338,0,55.9338,0.000283
0,0.014058,2.89247,0,2.89247,0.000364
0,0.013948,7.62003,0,-7.62003,0.000354
0,0.013838,47.5216,0,-47.5216,0.000359
0,0.013728,14.9984,0,14.9984,0.000196
0,0.013618,22.1798,0,22.1798,0.000571
0,0.013508,0.33907,0,-0.33907,0.00013
0,0.013398,9.5435,0,9.5435,0.000587
0,0.013288,19.9541,0,19.9541,0.000388
0,0.013178,14.5995,0,14.5995,0.00034
0,0.013068,2.44268,0,2.44268,0.000356
0,0.012958,5.18796,0,5.18796,0.000509
0,0.012848,15.7675,0,-15.7675,0.000123
0,0.012738,28.1646,0,-28.1646,0.000506
0,0.012628,11.2533,0,11.2533,0.00027
